Sand King,1.0
Chen,0.97
Bristleback,0.81
Abaddon,0.81
Hoodwink,0.81
Pangolier,0.78
Underlord,0.61
Mars,0.58
Gyrocopter,0.56
Naga Siren,1.0
Enchantress,0.52
